Snapshot_Date,SalesPerson_Name,SalesPersonID,AccountManager_ID,AccountManager_Name,country_id,country_name,Company,Vendor ID,Vendor,Balance Outstanding,Future_Aging,Aging_0_30,Aging_31_60,Aging_61_90,Aging_91_120,Aging_121_180,Aging_181_360,Above_361_Aging,%GT,LP Date,Vendor LP Amount
2023-04-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,279231.88,29924.21,139615.94,83769.56,27923.19,13961.59,8376.96,2792.32,2792.32,0.06,,0.0
2023-05-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,417903.91,33750.93,181466.94,113859.56,77175.59,20594.18,14086.68,6030.9,4690.07,0.08,,0.0
2023-06-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,571509.56,19303.15,205327.34,172435.14,97146.54,59130.91,16984.24,11552.75,8932.64,0.13,,0.0
2023-07-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,555200.77,16315.52,189280.03,180126.98,142793.23,43000.53,0.0,0.0,0.0,0.14,2023-06-08 14:10:51.508363,128756.68
2023-08-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,690995.08,30266.61,200753.39,193530.79,162428.32,100257.54,34025.04,0.0,0.0,0.02,2023-06-08 14:10:51.508363,128756.68
2023-09-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,864460.79,18775.73,230453.71,214551.18,167429.7,139760.15,89553.51,22712.53,0.0,0.13,2023-06-08 14:10:51.508363,128756.68
2023-10-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,522923.11,17720.1,168843.66,248273.24,105806.21,0.0,0.0,0.0,0.0,0.14,2023-09-13 14:10:51.508731,453736.84
2023-11-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,656779.2,26349.6,174220.25,193775.81,219005.34,69777.8,0.0,0.0,0.0,0.04,2023-09-13 14:10:51.508731,453736.84
2023-12-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,848247.66,40654.55,236125.89,178619.12,194618.69,183405.4,55478.57,0.0,0.0,0.05,2023-09-13 14:10:51.508731,453736.84
2024-01-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,770709.79,28729.71,190069.09,207327.65,180433.88,182513.21,10365.97,0.0,0.0,0.11,2023-12-21 14:10:51.509070,177728.55
